Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,New_Product_ID,Sales,Order Date_new,Ship Date_new
1,CA-2024-152156,8/11/2024,11/11/2024,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,FUR-BO-10001798,261.96,8-Nov-24,11-Nov-24
2,CA-2024-152156,8/11/2024,11/11/2024,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",FUR-CH-10000454,731.94,8-Nov-24,11-Nov-24
3,CA-2024-138688,12/6/2024,16/06/2024,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,OFF-LA-10000240,14.62,12-Jun-24,16-Jun-24
4,US-2023-108966,11/10/2023,18/10/2023,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,FUR-TA-10000577,957.5775,11-Oct-23,18-Oct-23
5,US-2023-108966,11/10/2023,18/10/2023,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,OFF-ST-10000760,22.368,11-Oct-23,18-Oct-23
6,CA-2022-115812,9/6/2022,14/06/2022,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",FUR-FU-10001487,48.86,9-Jun-22,14-Jun-22
7,CA-2022-115812,9/6/2022,14/06/2022,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,OFF-AR-10002833,7.28,9-Jun-22,14-Jun-22
8,CA-2022-115812,9/6/2022,14/06/2022,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,TEC-PH-10002275,907.152,9-Jun-22,14-Jun-22
9,CA-2022-115812,9/6/2022,14/06/2022,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,OFF-BI-10003910,18.504,9-Jun-22,14-Jun-22
10,CA-2022-115812,9/6/2022,14/06/2022,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,OFF-AP-10002892,114.9,9-Jun-22,14-Jun-22
